"Customer_ID","Age","Occupation","Annual_Income","Num_Bank_Accounts","Interest_Rate","Num_of_Loan","Delay_from_due_date","Num_of_Delayed_Payment","Changed_Credit_Limit","Num_Credit_Inquiries","Credit_Mix","Outstanding_Debt","Credit_Utilization_Ratio","Credit_History_Age","Payment_of_Min_Amount","Total_EMI_per_month","Amount_invested_monthly","Payment_Behaviour","Monthly_Balance","Credit_Score"
"CUS_0xd40",23,"Scientist",19114.12,3,3,4,3,7,11.27,4,"Good",809.98,26.822619623699,265,"No",49.5749492148942,80.4152954390025,"High_spent_Small_value_payments",312.494088679437,"Good"
"CUS_0xd40",23,"Scientist",19114.12,3,3,4,4,6,11.27,4,"Good",809.98,31.9449600553842,268,"No",49.5749492148942,118.280221622367,"Low_spent_Large_value_payments",284.629162496072,"Good"
"CUS_0xd40",23,"Scientist",19114.12,3,3,4,3,7,10.27,4,"Good",809.98,28.6093520220699,267,"No",49.5749492148942,81.699521264648,"Low_spent_Medium_value_payments",331.209862853791,"Good"
"CUS_0xd40",23,"Scientist",19114.12,3,3,4,5,4,6.27,4,"Good",809.98,31.3778618695824,268,"No",49.5749492148942,199.458074391071,"Low_spent_Small_value_payments",223.451309727368,"Good"
"CUS_0xd40",23,"Scientist",19114.12,3,3,4,6,6,11.27,4,"Good",809.98,24.797346908845,269,"No",49.5749492148942,41.4201530862173,"High_spent_Medium_value_payments",341.489231032222,"Good"
"CUS_0xd40",23,"Scientist",19114.12,3,3,4,8,4,9.27,4,"Good",809.98,27.2622587105202,270,"No",49.5749492148942,62.4301723311953,"Low_spent_Small_value_payments",340.479211787244,"Good"
"CUS_0xd40",23,"Scientist",19114.12,3,3,4,3,8,11.27,4,"Good",809.98,22.5375930317838,271,"No",49.5749492148942,178.344067412235,"Low_spent_Small_value_payments",244.565316706204,"Good"
"CUS_0xd40",23,"Scientist",19114.12,3,3,4,3,6,11.27,4,"Good",809.98,23.9337948019655,268,"No",49.5749492148942,24.7852165090521,"High_spent_Medium_value_payments",358.124167609387,"Standard"
"CUS_0x21b1",28,"Teacher",34847.84,2,6,1,3,4,5.42,2,"Good",605.03,24.4640306375846,319,"No",18.8162145731289,104.291825168246,"Low_spent_Small_value_payments",470.690626925292,"Standard"
"CUS_0x21b1",28,"Teacher",34847.84,2,6,1,7,1,7.42,2,"Good",605.03,38.5508484339563,320,"No",18.8162145731289,40.391237828531,"High_spent_Large_value_payments",484.591214265007,"Good"
"CUS_0x21b1",28,"Teacher",34847.84,2,6,1,3,2,5.42,2,"Good",605.03,33.2249507866366,321,"No",18.8162145731289,58.5159756958947,"High_spent_Large_value_payments",466.466476397643,"Standard"
"CUS_0x21b1",28,"Teacher",34847.84,2,6,1,3,3,5.42,2,"Good",605.03,39.1826556554688,322,"No",18.8162145731289,99.3062279605331,"Low_spent_Medium_value_payments",465.676224133005,"Good"
"CUS_0x21b1",28,"Teacher",34847.84,2,6,1,3,1,6.42,2,"Good",605.03,34.9778947470924,323,"No",18.8162145731289,130.115420242923,"Low_spent_Small_value_payments",444.867031850614,"Good"
"CUS_0x21b1",28,"Teacher",34847.84,2,6,1,3,0,5.42,2,"Good",605.03,33.3810102006506,324,"No",18.8162145731289,43.4771901443557,"High_spent_Large_value_payments",481.505261949182,"Good"
"CUS_0x21b1",28,"Teacher",34847.84,2,6,1,3,4,5.42,2,"Good",605.03,31.1317016115533,325,"No",18.8162145731289,70.1017742075568,"High_spent_Medium_value_payments",464.880677885981,"Good"
"CUS_0x21b1",28,"Teacher",34847.84,2,6,1,3,4,5.42,2,"Good",605.03,32.9338562936222,326,"No",18.8162145731289,218.904343533887,"Low_spent_Small_value_payments",356.07810855965,"Good"
"CUS_0x2dbc",34,"Engineer",143162.64,1,8,3,5,8,7.1,3,"Good",1303.01,28.6167348230068,213,"No",246.992319453742,168.413702679309,"High_spent_Small_value_payments",1043.31597786695,"Good"
"CUS_0x2dbc",34,"Engineer",143162.64,1,8,3,13,6,7.1,3,"Good",1303.01,41.7025734239391,214,"No",246.992319453742,232.860383759935,"High_spent_Small_value_payments",998.869296786323,"Good"
"CUS_0x2dbc",34,"Engineer",143162.64,1,8,3,8,7,11.1,3,"Good",1303.01,26.5198153915465,215,"No",246.992319453742,363.070024474383,"High_spent_Small_value_payments",715.741367403555,"Good"
"CUS_0x2dbc",34,"Engineer",143162.64,1,8,3,8,5,9.1,3,"Good",1303.01,39.5016481081273,217,"No",246.992319453742,825.216269939392,"Low_spent_Medium_value_payments",426.513410606866,"Good"
"CUS_0x2dbc",34,"Engineer",143162.64,1,8,3,10,5,7.1,3,"Good",1303.01,31.376149574212,217,"No",246.992319453742,430.94752788033,"Low_spent_Large_value_payments",810.782152665928,"Good"
"CUS_0x2dbc",34,"Engineer",143162.64,1,8,3,8,6,7.1,3,"Good",1303.01,39.7839934580212,218,"No",246.992319453742,257.80809942569,"High_spent_Medium_value_payments",963.921581120568,"Good"
"CUS_0x2dbc",34,"Engineer",143162.64,1,8,3,8,6,7.1,3,"Good",1303.01,38.0686236276986,219,"No",246.992319453742,263.174163161639,"High_spent_Small_value_payments",968.555517384619,"Standard"
"CUS_0x2dbc",34,"Engineer",143162.64,1,8,3,8,6,7.1,3,"Good",1303.01,38.3747529477851,220,"No",246.992319453742,363.070024474383,"High_spent_Small_value_payments",895.494583180492,"Standard"
"CUS_0xb891",54,"Entrepreneur",30689.89,2,4,1,0,6,1.99,4,"Good",632.46,26.5442287240731,207,"No",16.4154516598249,81.2288587107362,"Low_spent_Large_value_payments",433.604772962772,"Standard"
"CUS_0xb891",54,"Entrepreneur",30689.89,2,4,1,5,3,1.99,4,"Good",632.46,35.2799817790085,208,"No",16.4154516598249,124.881819902348,"Low_spent_Small_value_payments",409.95181177116,"Standard"
"CUS_0xb891",55,"Entrepreneur",30689.89,2,4,1,3,9,1.99,4,"Good",632.46,32.3011634318025,209,"No",16.4154516598249,83.406508802525,"High_spent_Medium_value_payments",411.427122870983,"Standard"
"CUS_0xb891",55,"Entrepreneur",30689.89,2,4,1,7,6,-2.01,4,"Good",632.46,38.1323481925701,210,"No",16.4154516598249,272.334037395668,"Low_spent_Small_value_payments",262.49959427784,"Standard"
"CUS_0xb891",55,"Entrepreneur",30689.89,2,4,1,5,6,-1.01,4,"Good",632.46,41.1543165469695,211,"No",16.4154516598249,120.529285485374,"Low_spent_Large_value_payments",359.374915507764,"Standard"
"CUS_0xb891",55,"Entrepreneur",30689.89,2,4,1,5,6,-3.01,4,"Good",632.46,27.4454217928553,212,"No",16.4154516598249,84.9528481711597,"High_spent_Small_value_payments",419.880783502349,"Standard"
"CUS_0xb891",55,"Entrepreneur",30689.89,2,4,1,5,6,1.99,4,"Good",632.46,26.0563952785716,213,"No",16.4154516598249,71.2836748828693,"Low_spent_Large_value_payments",443.549956790639,"Standard"
"CUS_0xb891",55,"Entrepreneur",30689.89,2,4,1,4,9,1.99,4,"Good",632.46,27.3325149275542,214,"No",16.4154516598249,125.617250532313,"High_spent_Small_value_payments",379.216381141196,"Standard"
"CUS_0x1cdb",21,"Developer",35547.71,7,5,0,5,15,2.58,4,"Standard",943.86,39.7977642319992,368,"Yes",0,276.725394317363,"High_spent_Medium_value_payments",288.605522349304,"Standard"
"CUS_0x1cdb",21,"Developer",35547.71,7,5,0,9,15,2.58,4,"Standard",943.86,27.0203602538969,369,"Yes",0,74.4436410499962,"High_spent_Medium_value_payments",460.88727561667,"Standard"
"CUS_0x1cdb",21,"Developer",35547.71,7,5,0,5,12,2.58,4,"Standard",943.86,23.462303036448,370,"Yes",0,173.138651001584,"Low_spent_Medium_value_payments",392.192265665083,"Standard"
"CUS_0x1cdb",21,"Developer",35547.71,7,5,0,1,15,2.58,4,"Standard",943.86,28.9249537780986,371,"Yes",0,96.7854850858744,"High_spent_Medium_value_payments",438.545431580792,"Standard"
"CUS_0x1cdb",21,"Developer",35547.71,7,5,0,9,17,2.58,4,"Standard",943.86,41.7761871505572,372,"Yes",0,62.7232783443501,"High_spent_Small_value_payments",482.607638322317,"Standard"
"CUS_0x1cdb",21,"Developer",35547.71,7,5,0,5,15,2.58,4,"Standard",943.86,29.2175563266884,373,"Yes",0,37.64363788964,"High_spent_Medium_value_payments",497.687278777027,"Standard"
"CUS_0x1cdb",21,"Developer",35547.71,7,5,0,10,15,2.58,4,"Standard",943.86,26.2638226921302,374,"Yes",0,181.011982731589,"Low_spent_Small_value_payments",394.318933935077,"Standard"
"CUS_0x1cdb",21,"Developer",35547.71,7,5,0,1,15,2.58,4,"Standard",943.86,25.8629224743216,375,"Yes",0,181.330900961869,"High_spent_Small_value_payments",364.000015704798,"Standard"
"CUS_0x95ee",31,"Lawyer",73928.46,4,8,0,12,10,10.14,2,"Good",548.2,39.962685013639,387,"No",0,98.6744099416612,"High_spent_Large_value_payments",740.196090058339,"Good"
"CUS_0x95ee",31,"Lawyer",73928.46,4,8,0,8,7,10.14,2,"Good",548.2,42.7698644032571,384,"No",0,172.939214468756,"Low_spent_Medium_value_payments",705.931285531244,"Good"
"CUS_0x95ee",31,"Lawyer",73928.46,4,8,0,8,7,10.14,2,"Good",548.2,40.7121865299296,387,"No",0,150.059734298008,"High_spent_Medium_value_payments",698.810765701992,"Good"
"CUS_0x95ee",31,"Lawyer",73928.46,4,8,0,8,7,10.14,2,"Good",548.2,30.2016577058093,386,"No",0,618.202391250584,"Low_spent_Small_value_payments",270.668108749417,"Good"
"CUS_0x95ee",31,"Lawyer",73928.46,4,8,0,11,7,10.14,2,"Good",548.2,26.333310426871,387,"No",0,177.951835686087,"Low_spent_Large_value_payments",690.918664313913,"Good"
"CUS_0x95ee",31,"Lawyer",73928.46,4,8,0,7,7,10.14,2,"Good",548.2,35.2754365244368,387,"No",0,235.79032503182,"Low_spent_Large_value_payments",633.08017496818,"Good"
"CUS_0x95ee",31,"Lawyer",73928.46,4,8,0,8,4,9.14,2,"Good",548.2,36.6247912618376,389,"No",0,348.509399512595,"High_spent_Small_value_payments",510.361100487405,"Standard"
"CUS_0x95ee",31,"Lawyer",73928.46,4,8,0,8,7,10.14,2,"Good",548.2,31.5809896683177,390,"No",0,42.6355902518958,"Low_spent_Large_value_payments",796.234909748104,"Good"
"CUS_0x284a",33,"Lawyer",131313.4,0,8,2,0,3,9.34,2,"Good",352.16,32.2005089953919,367,"No",137.644605401422,378.171253520754,"High_spent_Medium_value_payments",858.462474411158,"Good"
"CUS_0x284a",34,"Lawyer",131313.4,0,8,2,0,2,15.34,4,"Good",352.16,31.9837100075587,368,"No",137.644605401422,698.873270716938,"High_spent_Small_value_payments",547.760457214973,"Good"
